rank,eligible,eligibility_reasons,distribution_ready,distribution_readiness_reasons,apn,site_apns,site_type,parcel_count,residential_zoning,SITUS_ADD,SITUS_CTY,FID,centroid_lon,centroid_lat,score,gross_acres,screenable_acres,excluded_acres,wetland_exclusion_acres,protected_exclusion_acres,farmland_exclusion_acres,city_exclusion_acres,improvement_value,improvement_value_per_acre,flat_fraction,open_fraction,contiguous_acres,mean_slope_deg,estimated_mw,reference_project_mw,reference_battery_mwh,reference_annual_mwh,reference_average_kw,static_pv_export_limit_mw,reference_export_gap_mw,interconnection_path,screened_project_mw,screened_annual_mwh,transmission_distance_m,transmission_Name,transmission_kV,transmission_Owner,transmission_Status,transmission_Type,highway_1_side,highway_1_distance_m,highway_1_viewshed_exposure,highway_1_visible_length_m,highway_1_nearest_visible_distance_m,pge_distance_m,pge_FeederId,pge_FeederName,pge_CSV_LineSection,pge_GenCapacity_kW,pge_GenericPVCapacity_kW,pge_voltage_kv,pge_phase_cnt,pge_ICA_Analysis_Date,pge_Feeder_Name,pge_Substation,pge_Nominal_Voltage,pge_ResCust,pge_ComCust,pge_IndCust,pge_AgrCust,pge_OthCust,pge_Existing_DG,pge_Queued_DG,pge_Total_DG,pge_profile_min_load_kw,pge_profile_peak_load_kw,pge_profile_min_midday_load_kw,fire_hazard,solar_kwh_m2_day,annual_mwh_per_mw,LCP_CODE,GEN_PLAN,BASEZONE,score_contiguous_land,score_flat_fraction,score_open_land_cover,score_undeveloped,score_industrial_reuse,score_distribution_proximity,score_residential_demand,score_evening_peak_demand,score_grid_hosting_capacity,score_solar_resource,score_transmission_proximity,score_low_highway_visibility
51,True,,False,insufficient_static_pv_ica,1181603200,1181603200,greenfield,1,True,13451 POINT CABRILLO DR,MENDOCINO,48961,-123.81076878746683,39.3449866104098,0.6344910615029187,13.906003136486321,13.906003136486321,0.0,0.0,0.0,0.0,0.0,48433.0,3482.8843000130187,1.0,0.953125,13.566085442547378,2.8697671706601757,2.4665609895540688,1.0,4.0,1545.7377699999997,176.4540833333333,0.354,0.646,controlled_export_or_distribution_upgrade,0.354,547.1911705799998,147.01600933979324,PG&E 60kV,60,PG&E,Operational,OH,west,6.1622080377738255,0.05092946644201356,1300.0,22.479612587320748,544.1272744808391,042761102,FORT BRAGG A 1102,4157616,252.0,354.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,High,4.9243,1545.7377699999997,R,RR10PD,RR,0.6783042721273689,1.0,0.953125,0.6517115699986982,0.0,0.5803480469436931,1.0,0.839344262295082,0.177,1.0,0.8632801567603235,0.0
52,True,,False,insufficient_static_pv_ica,1233700300,1233700300,greenfield,1,False,2335 N HWY 1,ALBION,26555,-123.76519401273043,39.209456087960376,0.633215824684701,102.00727117991039,93.59913572256909,8.408135457341302,8.40813545734075,0.0,0.0,0.0,91909.0,901.0043983815619,0.6423529411764706,0.7105882352941176,51.37320880702367,9.109561169073984,9.34058341945885,1.0,4.0,1545.7377699999997,176.4540833333333,0.45,0.55,controlled_export_or_distribution_upgrade,0.45,695.5819965,685.0371999889422,PG&E 60kV,60,PG&E,Operational,OH,east,0.42257771478742184,0.013787675400872718,1800.0,59.051396056516076,449.78002883890275,042981101,ELK 1101,3641610,320.0,450.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.6423529411764706,0.7105882352941176,0.9098995601618438,0.0,0.6377684268543211,0.4824175824175824,0.5171584699453552,0.225,1.0,0.504071477772645,0.6553081149781821
53,True,,False,insufficient_static_pv_ica,0272210300,0272210300,greenfield,1,False,NONE, ,41896,-123.67180501389501,38.91483411138661,0.6322140337342183,142.08286491561663,107.8727448439157,34.21012007170093,34.210120071700864,0.0,0.0,0.0,0.0,0.0,0.5821205821205822,0.814968814968815,53.597157240228164,10.334872536365465,9.744937680041485,1.0,4.0,1460.8278200000002,166.7611666666667,0.42,0.5800000000000001,controlled_export_or_distribution_upgrade,0.42,613.5476844000001,182.93452810944007,PG&E 60kV,60,PG&E,Operational,OH,east,1356.9340469239721,0.0006576610122910183,1000.0,2205.739852334577,228.60634722126517,043381101,POINT ARENA 1101,4183050,300.0,420.0,12,3.0,Feb 2025,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,Moderate,4.6538,1460.8278200000002,R,RL160,RL,1.0,0.5821205821205822,0.814968814968815,1.0,0.0,0.7956416784234551,0.2611721611721612,0.2937704918032787,0.21,0.9450683345856266,0.832822680427543,0.9835584746927245
54,True,,False,insufficient_static_pv_ica,0271711705,0271711705,greenfield,1,False,40270 GARCIA RIVER RD,POINT ARENA,38753,-123.65517812947891,38.936870235120864,0.6318708460388784,119.76477907226817,119.76477907226817,0.0,0.0,0.0,0.0,0.0,28560.0,238.46743776621,0.9292364990689013,0.5847299813780261,50.26123459042143,4.604476258278331,9.138406289167532,1.0,4.0,1460.8278200000002,166.7611666666667,0.07,0.9299999999999999,controlled_export_or_distribution_upgrade,0.07,102.25794740000002,1164.396653485428,PG&E 60kV,60,PG&E,Operational,OH,east,2664.260751109918,0.0,0.0,,263.23210780212315,043381101,POINT ARENA 1101,4328542,46.0,70.0,12,3.0,Mar 2026,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,High,4.6538,1460.8278200000002, ,FL160,FL,1.0,0.9292364990689013,0.5847299813780261,0.976153256223379,0.0,0.7685634870249861,0.2611721611721612,0.2937704918032787,0.035,0.9450683345856266,0.3121109162691581,1.0
55,True,,False,insufficient_static_pv_ica,0153800400,0153800400,greenfield,1,True,NONE, ,10946,-123.77385276050849,39.58331193362654,0.6304001678721189,78.21279408031371,23.827747595035465,54.38504648527825,54.38504474318359,0.00450797951355193,0.0,0.0,0.0,0.0,0.7641509433962265,0.8773584905660378,12.231716382624684,8.357457882888921,2.223948433204488,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,16138.386170695632,PG&E 60kV,60,PG&E,Operational,OH,crosses,0.0,0.07674663679474107,1800.0,31.947520215011018,507.98653476517126,042761101,FORT BRAGG A 1101,4897557,92.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RMR20PD,RMR,0.6115858191312342,0.7641509433962265,0.8773584905660378,1.0,0.0,0.60170587381845,0.7824175824175824,1.0,0.0695,1.0,9.799139476068925e-08,0.0
56,True,,False,insufficient_static_pv_ica,0132404400,0132404400,greenfield,1,False,NONE, ,42643,-123.78145673256492,39.644847167892166,0.6300352760122673,40.24712605417134,39.90417115611068,0.34295489806066115,0.3429548980610909,0.0,0.0,0.0,0.0,0.0,0.4222222222222222,0.5222222222222223,11.342137009342888,12.878397497344537,2.062206728971434,1.0,4.0,1545.7377699999997,176.4540833333333,0.136,0.864,controlled_export_or_distribution_upgrade,0.136,210.22033671999998,23064.813275054625,PG&E 60kV,60,PG&E,Operational,OH,crosses,0.0,0.04959005248674566,2700.0,19.738828083540934,0.0,042761101,FORT BRAGG A 1101,3201047,90.0,136.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RL160,RL,0.5671068504671444,0.4222222222222222,0.5222222222222223,1.0,0.0,1.0,0.7824175824175824,1.0,0.068,1.0,9.617869244413552e-11,0.0
57,True,,False,insufficient_static_pv_ica,0690104300,0690104300,greenfield,1,False,NONE, ,10850,-123.75253342349576,39.53676788980374,0.6298784575200137,97.40112008379903,87.88473141942006,9.516388664378965,9.516422443684247,0.0,0.0,0.0,290744.0,2985.0170075031833,0.5037220843672456,0.41935483870967744,17.124402935674556,12.431841299429701,3.113527806486283,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,11393.93407964495,PG&E 60kV,60,PG&E,Operational,OH,east,16.65471070080316,0.04424713631169341,2800.0,109.4191937410939,2.9676777754913015,042761101,FORT BRAGG A 1101,4801714,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.8562201467837278,0.5037220843672456,0.41935483870967744,0.7014982992496817,0.0,0.9970367214273168,0.7824175824175824,1.0,0.0695,1.0,1.126360215019686e-05,0.0
58,True,,False,insufficient_static_pv_ica,1311101300,1311101300,greenfield,1,False,14409 S HWY 1,MANCHESTER,49787,-123.68230909834607,39.03203475928224,0.6282086262415223,85.04951897721546,63.20247275677913,21.847046220436326,21.847046220436678,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.33793103448275863,14.010875129188275,17.709771228214446,2.5474318416705954,1.0,4.0,1545.7377699999997,176.4540833333333,0.4,0.6,controlled_export_or_transmission_study,0.4,618.2951079999999,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,24.577431920101574,0.0013510444267950464,100.0,388.42294260449034,732.3841659571274,042981101,ELK 1101,4166481,290.0,400.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.7005437564594137,0.41379310344827586,0.33793103448275863,1.0,0.0,0.4807614076386978,0.4824175824175824,0.5171584699453552,0.2,1.0,1.0,0.9662238893301238
59,True,,False,insufficient_static_pv_ica,1310501500,1310501500,greenfield,1,False,11400 S HWY 1,ELK,23862,-123.6975496374986,39.074967482049146,0.6266513974820086,39.650897461374136,27.284390518636005,12.36650694273813,12.366506942737217,0.0,0.0,0.0,0.0,0.0,0.9834710743801653,1.0,21.572299802083535,2.6505017837955656,3.922236327651552,1.0,4.0,1545.7377699999997,176.4540833333333,0.0,1.0,controlled_export_or_distribution_upgrade,0.0,0.0,370.3394516589705,PG&E 60kV,60,PG&E,Operational,OH,west,56.01809498739231,0.03182915296272307,1500.0,166.22783721810333,0.0,042981101,ELK 1101,4746950,0.0,0.0,12,3.0,May 2026,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,AG60,AG,1.0,0.9834710743801653,1.0,1.0,0.0,1.0,0.4824175824175824,0.5171584699453552,0.0,1.0,0.6904998995141798,0.20427117593192334
60,True,,False,insufficient_static_pv_ica,0272912300,0272912300,greenfield,1,False,EUREKA HILL RD,POINT ARENA,35267,-123.68120204691141,38.907297848514,0.624028546003911,87.51067195497407,47.21445574667152,40.29621620830255,40.296216208302134,0.0,0.0,0.0,0.0,0.0,0.7649769585253456,0.7972350230414746,16.67961324903366,7.62965386564011,3.0326569543697564,1.0,4.0,1460.8278200000002,166.7611666666667,0.42,0.5800000000000001,controlled_export_or_distribution_upgrade,0.42,613.5476844000001,208.86135400518896,PG&E 60kV,60,PG&E,Operational,OH,east,555.110886929116,0.0006061457868368724,300.0,1333.3594565699698,231.3499042684618,043381101,POINT ARENA 1101,3321373,300.0,420.0,12,3.0,Feb 2025,POINT ARENA 1101,POINT ARENA,12,713,162,15,24,17,382,687,1069,576.0,1344.0,581.0,Moderate,4.6538,1460.8278200000002, , , ,0.833980662451683,0.7649769585253456,0.7972350230414746,1.0,0.0,0.7934617817923145,0.2611721611721612,0.2937704918032787,0.21,0.9450683345856266,0.811507740142011,0.9848463553290782
